AUD, Австралийский доллар, 60.4533
AZN, Азербайджанский манат, 54.4658
GBP, Фунт стерлингов Соединенного королевства, 116.9251
AMD, Армянских драмов, 23.4582
BYN, Белорусский рубль, 28.4504
BGN, Болгарский лев, 51.3891
BRL, Бразильский реал, 18.5678
HUF, Венгерских форинтов, 25.3878
VND, Вьетнамских донгов, 38.5832
HKD, Гонконгский доллар, 11.8571
GEL, Грузинский лари, 34.2236
DKK, Датская крона, 13.4748
AED, Дирхам ОАЭ, 25.2122
USD, Доллар США, 92.5919
EUR, Евро, 100.2704
EGP, Египетских фунтов, 19.5843
INR, Индийских рупий, 11.1419
IDR, Индонезийских рупий, 58.6136
KZT, Казахстанских тенге, 20.5728
CAD, Канадский доллар, 68.2227
QAR, Катарский риал, 25.4373
KGS, Киргизских сомов, 10.3443
CNY, Китайский юань, 12.7477
MDL, Молдавских леев, 52.3393
NZD, Новозеландский доллар, 55.5644
NOK, Норвежских крон, 86.4513
PLN, Польский злотый, 23.231
RON, Румынский лей, 20.176
XDR, СДР (специальные права заимствования), 122.8593
SGD, Сингапурский доллар, 68.7138
TJS, Таджикских сомони, 84.4979
THB, Таиландских батов, 25.432
TRY, Турецких лир, 28.8184
TMT, Новый туркменский манат, 26.4548
UZS, Узбекских сумов, 73.544
UAH, Украинских гривен, 23.5345
CZK, Чешских крон, 39.7766
SEK, Шведских крон, 87.7573
CHF, Швейцарский франк, 102.2776
RSD, Сербских динаров, 85.542
ZAR, Южноафриканских рэндов, 48.8728
KRW, Вон Республики Корея, 68.6527
JPY, Японских иен, 61.0161
